InstanceType,status,lifetime,Vender
inf1.2xlarge,1,50423,AWS
m1.large,1,23483,AWS
m1.large,1,28557,AWS
m1.large,1,652,AWS
m1.large,1,967,AWS
m1.large,1,3213,AWS
m1.large,1,6382,AWS
m1.large,1,13975,AWS
m1.large,1,4682,AWS
m1.large,1,20622,AWS
m1.large,1,33546,AWS
m1.large,1,24286,AWS
m1.medium,1,16199,AWS
m1.medium,1,1865,AWS
m1.medium,1,599,AWS
m1.small,1,18778,AWS
m1.small,1,6978,AWS
m1.small,1,15114,AWS
m1.small,1,17492,AWS
m1.small,1,24774,AWS
m2.4xlarge,1,18931,AWS
m2.4xlarge,1,2563,AWS
m2.4xlarge,1,22013,AWS
m2.xlarge,1,64188,AWS
m2.xlarge,1,59671,AWS
m2.xlarge,1,68,AWS
m2.xlarge,1,121,AWS
m2.xlarge,1,169,AWS
m2.xlarge,1,380,AWS
m2.xlarge,1,474,AWS
m2.xlarge,1,11734,AWS
m2.xlarge,1,1802,AWS
m2.xlarge,1,8341,AWS
m2.xlarge,1,660,AWS
m2.xlarge,1,4984,AWS
m2.xlarge,1,1380,AWS
m2.xlarge,1,8223,AWS
m2.xlarge,1,484,AWS
m2.xlarge,1,479,AWS
m3.2xlarge,1,237,AWS
m3.2xlarge,1,8614,AWS
m3.large,1,57303,AWS
m3.medium,1,54766,AWS
m3.medium,1,1231,AWS
m5.4xlarge,1,19598,AWS
m5.4xlarge,1,58716,AWS
m5.4xlarge,1,48374,AWS
m5.8xlarge,1,83911,AWS
m5.large,1,60683,AWS
m5.large,1,21815,AWS
m5a.2xlarge,1,44525,AWS
m5a.2xlarge,1,3880,AWS
m5a.2xlarge,1,24505,AWS
m5a.4xlarge,1,51044,AWS
m5n.4xlarge,1,13808,AWS
m5n.4xlarge,1,69910,AWS
m5zn.xlarge,1,30453,AWS
m6a.4xlarge,1,324,AWS
m6a.4xlarge,1,51339,AWS
m6a.4xlarge,1,6556,AWS
m6a.4xlarge,1,1673,AWS
m6a.4xlarge,1,326,AWS
m6a.4xlarge,1,20258,AWS
m6a.4xlarge,1,363,AWS
m6a.4xlarge,1,890,AWS
m6a.4xlarge,1,7560,AWS
m6a.4xlarge,1,1886,AWS
m6a.4xlarge,1,5116,AWS
m6g.8xlarge,1,205,AWS
m6g.8xlarge,1,248,AWS
m6g.8xlarge,1,663,AWS
m6g.8xlarge,1,3601,AWS
m6g.8xlarge,1,14342,AWS
m6g.8xlarge,1,3492,AWS
m6g.8xlarge,1,6923,AWS
